-0.000,3.314,7.601,4.647,4.884,7.826,2.498,15.521,6.301,2.250
-0.000,4.968,11.045,4.125,6.745,7.537,3.301,22.172,10.801,-0.000
-0.000,8.347,4.824,8.328,3.596,4.990,5.031,14.540,5.187,5.960
-0.000,3.215,6.653,2.024,4.207,3.190,3.161,13.106,7.406,0.160
-0.000,3.892,11.117,4.857,5.966,10.377,4.499,18.424,9.298,3.088
-0.000,7.081,6.493,5.521,4.144,5.600,6.351,12.806,8.312,5.089
-0.000,6.985,7.568,3.103,2.472,3.437,7.749,8.442,8.494,3.440
-0.000,18.190,10.297,7.694,1.172,5.387,7.201,16.077,10.381,4.962
-0.000,10.620,6.075,9.342,3.114,7.448,10.976,11.294,9.085,12.562
-0.000,8.242,7.437,6.659,7.227,4.909,9.475,17.429,11.611,5.749
-0.000,99.252,13.940,60.108,13.573,-0.000,35.725,102.198,38.543,47.573
-0.000,87.190,8.935,54.685,4.544,3.500,22.861,74.367,28.357,39.952
-0.000,44.616,2.479,43.692,7.879,10.902,19.225,61.471,10.649,31.130
-0.000,16.868,12.085,16.639,11.454,7.345,10.446,46.902,15.707,8.309
-0.000,14.669,6.089,19.350,7.480,14.375,11.911,24.192,8.331,19.365
-0.000,10.109,2.274,11.671,3.855,4.741,7.365,14.404,3.292,10.523
-0.000,10.503,11.271,3.844,0.246,8.861,9.190,5.539,8.625,6.650
-0.000,16.668,18.426,7.305,7.169,7.158,17.859,22.746,20.964,8.481
-0.000,20.307,6.901,13.587,4.686,3.325,11.192,28.486,12.509,9.536
-0.000,16.981,10.540,10.309,3.424,8.399,11.203,20.579,13.486,9.761
-0.000,10.594,6.415,14.592,4.806,15.286,11.033,12.775,7.454,16.713
-0.000,5.333,6.471,8.661,5.813,9.243,4.896,16.683,6.133,6.829
-0.000,8.788,9.699,3.360,0.347,7.754,0.806,12.376,5.975,-0.000
-0.000,2.989,1.981,5.116,2.186,5.608,5.445,4.386,3.091,7.524
-0.000,-0.000,8.155,3.639,7.396,8.559,2.802,13.385,5.136,2.679
-0.000,3.720,2.302,3.254,1.620,3.265,4.340,4.086,3.805,4.525
-0.000,4.166,6.042,6.919,4.286,8.816,8.434,7.565,6.428,10.114
